Ente,IdVigneto,Codice,NomeVigneto,Infection,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27
4,7972,GRAPG01,Pg-Pintar,Peronospora,68%,65%,66%,65%,69%,72%,70%
4,8069,GRACH01,Ch-calvario,Oidium,25%,19%,20%,23%,36%,31%,35%
4,8069,GRACH01,Ch-calvario,Peronospora,75%,81%,80%,77%,64%,69%,65%
2,8082,VIAPG02,Pg-SottoCantina,Oidium,23%,28%,36%,38%,35%,37%,35%
2,8082,VIAPG02,Pg-SottoCantina,Peronospora,77%,72%,64%,62%,65%,63%,65%
4,8104,GRAMER02,Mer-Calvario,Oidium,48%,50%,51%,67%,55%,59%,56%
4,8104,GRAMER02,Mer-Calvario,Peronospora,52%,50%,49%,33%,45%,41%,44%
3,8173,VIAVER02,Ver-Sotto cantina,Oidium,28%,38%,51%,43%,33%,38%,41%
3,8173,VIAVER02,Ver-Sotto cantina,Peronospora,72%,62%,49%,57%,67%,62%,59%
4,8183,GRACAR01,Car-Calvario,Oidium,36%,38%,36%,31%,38%,31%,26%
4,8183,GRACAR01,Car-Calvario,Peronospora,64%,62%,64%,69%,62%,69%,74%
4,8273,GRAMAL01,Mal-Calvario,Oidium,31%,35%,39%,39%,36%,36%,39%
4,8273,GRAMAL01,Mal-Calvario,Peronospora,69%,65%,61%,61%,64%,64%,61%
8,8280,GRARIB03,Rib-Calvario,Oidium,45%,32%,31%,36%,30%,29%,36%
8,8280,GRARIB03,Rib-Calvario,Peronospora,55%,68%,69%,64%,70%,71%,64%
8,8294,GRATR02,ToFr-StefanutCasa,Oidium,36%,30%,35%,36%,42%,29%,38%
8,8294,GRATR02,ToFr-StefanutCasa,Peronospora,64%,70%,65%,64%,58%,71%,62%
8,8330,GRATR03,ToFr-StefanutCasa1,Oidium,30%,24%,22%,24%,35%,29%,32%
8,8330,GRATR03,ToFr-StefanutCasa1,Peronospora,70%,76%,78%,76%,65%,71%,68%
8,8343,GRATR04,ToFr-Mossa,Oidium,24%,33%,28%,36%,33%,33%,34%
8,8343,GRATR04,ToFr-Mossa,Peronospora,76%,67%,72%,64%,67%,67%,66%
8,8345,GRAMAL02,Mal- Bratinis Fornace,Oidium,33%,34%,36%,44%,36%,35%,36%
8,8345,GRAMAL02,Mal- Bratinis Fornace,Peronospora,67%,66%,64%,56%,64%,65%,64%
8,8356,GRACH02,Ch-Bratinis Fornace,Oidium,39%,35%,39%,42%,40%,39%,42%
8,8356,GRACH02,Ch-Bratinis Fornace,Peronospora,61%,65%,61%,58%,60%,61%,58%
8,8368,GRACH03,Ch-pozzar,Oidium,31%,27%,37%,43%,45%,44%,39%
8,8368,GRACH03,Ch-pozzar,Peronospora,69%,73%,63%,57%,55%,56%,61%
3,8392,VIAPIC02,Pic-Sotto cantina,Oidium,28%,33%,33%,31%,32%,35%,33%
3,8392,VIAPIC02,Pic-Sotto cantina,Peronospora,72%,67%,67%,69%,68%,65%,67%
8,8841,GRAPG02,Pg - 2016 Pozzar,Oidium,33%,28%,36%,28%,25%,24%,32%
8,8841,GRAPG02,Pg - 2016 Pozzar,Peronospora,67%,72%,64%,72%,75%,76%,68%
8,8849,GRAPG03,Pg-Pozzar1,Oidium,36%,28%,36%,28%,28%,25%,32%
8,8849,GRAPG03,Pg-Pozzar1,Peronospora,64%,72%,64%,72%,72%,75%,68%
3,8850,VIARB02,Rib-Sotto cantina,Oidium,24%,15%,25%,19%,18%,19%,21%
3,8850,VIARB02,Rib-Sotto cantina,Peronospora,76%,85%,75%,81%,82%,81%,79%
8,8858,GRASV02,Sv-Lesta ,Oidium,42%,36%,44%,37%,46%,38%,37%
8,8858,GRASV02,Sv-Lesta ,Peronospora,58%,64%,56%,63%,54%,62%,63%
8,8864,GRAMER02,Mer-Danilo,Oidium,27%,32%,33%,30%,32%,35%,32%
8,8864,GRAMER02,Mer-Danilo,Peronospora,73%,68%,67%,70%,68%,65%,68%
8,8876,GRAPG03,Pg-NadPalaz,Oidium,43%,44%,48%,44%,42%,40%,42%
8,8876,GRAPG03,Pg-NadPalaz,Peronospora,57%,56%,52%,56%,58%,60%,58%
3,9192,VIAMR01,Mer-SottoCantina,Oidium,36%,41%,45%,47%,46%,43%,40%
3,9192,VIAMR01,Mer-SottoCantina,Peronospora,64%,59%,55%,53%,54%,57%,60%
3,9279,VIASV02,Sv-Piazzale,Oidium,24%,22%,22%,23%,29%,33%,27%
3,9279,VIASV02,Sv-Piazzale,Peronospora,76%,78%,78%,77%,71%,67%,73%
8,9550,GRACH04,Ch-nad palaz,Oidium,29%,31%,34%,37%,31%,36%,33%
