Vigneto_IdVigneto,Codice,NomeVigneto,Infection,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09
8356,GRACH02,Ch-Bratinis Fornace,Peronospora,42%,46%,46%,54%,50%,61%,60%
8368,GRACH03,Ch-pozzar,Oidium,35%,31%,40%,40%,32%,35%,38%
8368,GRACH03,Ch-pozzar,Peronospora,65%,69%,60%,60%,68%,65%,62%
8392,VIAPIC02,Pic-Sotto cantina,Oidium,37%,39%,40%,34%,33%,34%,37%
8392,VIAPIC02,Pic-Sotto cantina,Peronospora,63%,61%,60%,66%,67%,66%,63%
8841,GRAPG02,Pg - 2016 Pozzar,Oidium,27%,39%,30%,22%,25%,26%,36%
8841,GRAPG02,Pg - 2016 Pozzar,Peronospora,73%,61%,70%,78%,75%,74%,64%
8849,GRAPG03,Pg-Pozzar1,Oidium,28%,39%,30%,23%,25%,26%,37%
8849,GRAPG03,Pg-Pozzar1,Peronospora,72%,61%,70%,77%,75%,74%,63%
8850,VIARB02,Rib-Sotto cantina,Oidium,28%,29%,29%,23%,27%,29%,41%
8850,VIARB02,Rib-Sotto cantina,Peronospora,72%,71%,71%,77%,73%,71%,59%
8858,GRASV02,Sv-Lesta ,Oidium,66%,61%,60%,58%,57%,48%,46%
8858,GRASV02,Sv-Lesta ,Peronospora,34%,39%,40%,42%,43%,52%,54%
8864,GRAMER02,Mer-Danilo,Oidium,37%,39%,41%,32%,33%,33%,37%
8864,GRAMER02,Mer-Danilo,Peronospora,63%,61%,59%,68%,67%,67%,63%
8876,GRAPG03,Pg-NadPalaz,Oidium,44%,38%,34%,40%,32%,31%,30%
8876,GRAPG03,Pg-NadPalaz,Peronospora,56%,62%,66%,60%,68%,69%,70%
9192,VIAMR01,Mer-SottoCantina,Oidium,52%,51%,47%,49%,51%,27%,33%
9192,VIAMR01,Mer-SottoCantina,Peronospora,48%,49%,53%,51%,49%,73%,67%
9279,VIASV02,Sv-Piazzale,Oidium,28%,27%,30%,32%,30%,30%,29%
9279,VIASV02,Sv-Piazzale,Peronospora,72%,73%,70%,68%,70%,70%,71%
9550,GRACH04,Ch-nad palaz,Oidium,11%,11%,18%,22%,15%,19%,27%
9550,GRACH04,Ch-nad palaz,Peronospora,89%,89%,82%,78%,85%,81%,73%
9606,VIASV03,Sv-SottoPiazzale alto,Oidium,34%,34%,32%,27%,28%,28%,30%
9606,VIASV03,Sv-SottoPiazzale alto,Peronospora,66%,66%,68%,73%,72%,72%,70%
9616,GRASV04,Sv-Pod palaz,Oidium,15%,29%,20%,15%,18%,29%,36%
9616,GRASV04,Sv-Pod palaz,Peronospora,85%,71%,80%,85%,82%,71%,64%
9634,VIATF02,ToFr-SottoPiazzale,Oidium,49%,54%,55%,58%,55%,59%,50%
9634,VIATF02,ToFr-SottoPiazzale,Peronospora,51%,46%,45%,42%,45%,41%,50%
9751,GRAPG03,Rib-Saurin,Oidium,35%,52%,48%,41%,28%,27%,31%
9751,GRAPG03,Rib-Saurin,Peronospora,65%,48%,52%,59%,72%,73%,69%
9815,VIASV04,Sv-SottoPiazzale,Oidium,55%,50%,54%,54%,55%,50%,52%
9815,VIASV04,Sv-SottoPiazzale,Peronospora,45%,50%,46%,46%,45%,50%,48%
9816,GRAPG04,Pg-Dragiza,Oidium,26%,34%,28%,32%,27%,31%,30%
