Ente,IdVigneto,Codice,NomeVigneto,Infection,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16
24.0,2048,SFECAR01,Car-Lidia,Oidium,23%,32%,15%,17%,17%,13%,31%
24.0,2048,SFECAR01,Car-Lidia,Peronospora,77%,68%,85%,83%,83%,87%,69%
24.0,2063,SFECSV02,Csv-Lidia,Oidium,29%,36%,28%,22%,21%,18%,32%
24.0,2063,SFECSV02,Csv-Lidia,Peronospora,71%,64%,72%,78%,79%,82%,68%
26.0,2093,SFEMR03,Mer-Lidia,Oidium,26%,39%,27%,15%,17%,11%,26%
26.0,2093,SFEMR03,Mer-Lidia,Peronospora,74%,61%,73%,85%,83%,89%,74%
-1.0,2102,SREPB01,Pb-Genoveffa,Oidium,25%,26%,26%,18%,30%,27%,34%
-1.0,2102,SREPB01,Pb-Genoveffa,Peronospora,75%,74%,74%,82%,70%,73%,66%
2.0,2124,SFEREF01,Rib-poggio_lonzanoalto,Oidium,26%,42%,24%,17%,19%,17%,28%
2.0,2124,SFEREF01,Rib-poggio_lonzanoalto,Peronospora,74%,58%,76%,83%,81%,83%,72%
2.0,2243,SFESCH02,Sch-Prepotto,Oidium,28%,17%,28%,30%,24%,33%,34%
2.0,2243,SFESCH02,Sch-Prepotto,Peronospora,72%,83%,72%,70%,76%,67%,66%
2.0,2248,SFECAR02,Car-Prepotto,Oidium,29%,16%,26%,29%,23%,35%,34%
2.0,2248,SFECAR02,Car-Prepotto,Peronospora,71%,84%,74%,71%,77%,65%,66%
2.0,2263,SFEPG03,Pg-LonzanoBasso,Oidium,27%,20%,29%,42%,43%,41%,42%
2.0,2263,SFEPG03,Pg-LonzanoBasso,Peronospora,73%,80%,71%,58%,57%,59%,58%
4.0,2302,SFEMR04,Mer-Lonzano basso,Oidium,38%,42%,43%,36%,36%,44%,37%
4.0,2302,SFEMR04,Mer-Lonzano basso,Peronospora,62%,58%,57%,64%,64%,56%,63%
4.0,2331,SFETC04,ToFr-Lonzano basso,Oidium,31%,30%,30%,41%,37%,40%,49%
4.0,2331,SFETC04,ToFr-Lonzano basso,Peronospora,69%,70%,70%,59%,63%,60%,51%
4.0,2523,SFERS01,Rie-lonzano basso,Oidium,37%,33%,35%,48%,39%,46%,40%
4.0,2523,SFERS01,Rie-lonzano basso,Peronospora,63%,67%,65%,52%,61%,54%,60%
40.0,2727,CENPG02,Pg-Terrazze,Oidium,36%,34%,31%,32%,30%,32%,34%
40.0,2727,CENPG02,Pg-Terrazze,Peronospora,64%,66%,69%,68%,70%,68%,66%
-1.0,2763,SREPG01,Pg-Genoveffa,Oidium,27%,37%,25%,22%,22%,13%,32%
-1.0,2763,SREPG01,Pg-Genoveffa,Peronospora,73%,63%,75%,78%,78%,87%,68%
4.0,2793,SFECH05,Ch-lonzano basso,Oidium,33%,34%,21%,13%,17%,19%,30%
4.0,2793,SFECH05,Ch-lonzano basso,Peronospora,67%,66%,79%,87%,83%,81%,70%
4.0,2888,SFEMAL02,Mal- Lonzano basso,Oidium,29%,25%,29%,31%,35%,30%,33%
4.0,2888,SFEMAL02,Mal- Lonzano basso,Peronospora,71%,75%,71%,69%,65%,70%,67%
4.0,2918,SFESCH03,Sch-Lonzano basso,Oidium,25%,25%,32%,36%,27%,34%,48%
4.0,2918,SFESCH03,Sch-Lonzano basso,Peronospora,75%,75%,68%,64%,73%,66%,52%
44.0,3034,ERMMER01,Mer-Bosco,Oidium,60%,49%,45%,52%,41%,54%,51%
44.0,3034,ERMMER01,Mer-Bosco,Peronospora,40%,51%,55%,48%,59%,46%,49%
44.0,3129,ERMFRI01,ToFr-Bosco,Oidium,46%,43%,46%,47%,43%,43%,41%
44.0,3129,ERMFRI01,ToFr-Bosco,Peronospora,54%,57%,54%,53%,57%,57%,59%
4.0,3132,SFESV02,Sv-Ferreghini,Oidium,31%,24%,21%,21%,20%,19%,34%
4.0,3132,SFESV02,Sv-Ferreghini,Peronospora,69%,76%,79%,79%,80%,81%,66%
4.0,3311,SFEMR05,Mer-Ferreghini,Oidium,36%,44%,39%,48%,31%,42%,43%
4.0,3311,SFEMR05,Mer-Ferreghini,Peronospora,64%,56%,61%,52%,69%,58%,57%
4.0,3316,SFEMR06,Mer-Ferreghini1,Oidium,38%,42%,42%,47%,34%,42%,43%
4.0,3316,SFEMR06,Mer-Ferreghini1,Peronospora,62%,58%,58%,53%,66%,58%,57%
4.0,3322,SFETC03,ToFr-Restocina,Oidium,40%,42%,52%,44%,34%,39%,38%
4.0,3322,SFETC03,ToFr-Restocina,Peronospora,60%,58%,48%,56%,66%,61%,62%
44.0,3372,ERMCHA01,Ch-Cantarutti,Oidium,48%,48%,44%,41%,40%,37%,39%
44.0,3372,ERMCHA01,Ch-Cantarutti,Peronospora,52%,52%,56%,59%,60%,63%,61%
44.0,3378,ERMFRI11,ToFr-Cantarutti,Oidium,38%,49%,45%,35%,40%,35%,39%
44.0,3378,ERMFRI11,ToFr-Cantarutti,Peronospora,62%,51%,55%,65%,60%,65%,61%
44.0,3390,ERMPIG02,Pig-Mario Cantina,Oidium,45%,41%,43%,35%,45%,39%,36%
44.0,3390,ERMPIG02,Pig-Mario Cantina,Peronospora,55%,59%,57%,65%,55%,61%,64%
44.0,3754,ERMPING06,Pg-Mario,Oidium,47%,37%,40%,46%,41%,42%,40%
44.0,3754,ERMPING06,Pg-Mario,Peronospora,53%,63%,60%,54%,59%,58%,60%
40.0,3797,CENSV03,Sv-Terrazze,Oidium,37%,35%,46%,32%,31%,31%,30%
40.0,3797,CENSV03,Sv-Terrazze,Peronospora,63%,65%,54%,68%,69%,69%,70%
-1.0,3823,VIARIS01,Rie-Bosco,Oidium,31%,29%,42%,34%,29%,35%,38%
-1.0,3823,VIARIS01,Rie-Bosco,Peronospora,69%,71%,58%,66%,71%,65%,62%
4.0,3880,SFECH03,Ch-restocina1,Oidium,32%,34%,35%,41%,40%,34%,37%
4.0,3880,SFECH03,Ch-restocina1,Peronospora,68%,66%,65%,59%,60%,66%,63%
-1.0,3940,VIAPG01,Pg-Bosco,Oidium,29%,36%,25%,22%,21%,17%,32%
-1.0,3940,VIAPG01,Pg-Bosco,Peronospora,71%,64%,75%,78%,79%,83%,68%
4.0,3973,SFECH02,ToFr-Restocina_gradoni,Oidium,30%,32%,33%,37%,39%,34%,30%
